time,left,right,center
1740729501.3055315,0,0,1
1740729501.3665328,0,0,1
1740729501.4310136,0,0,1
1740729501.493979,0,0,1
1740729501.5539172,0,0,1
1740729501.614771,0,0,1
1740729501.6787145,0,0,1
1740729501.734172,0,0,1
1740729501.795425,0,0,1
1740729501.8637471,0,0,1
1740729501.9142778,0,0,1
1740729501.9663954,0,0,1
1740729502.0324898,0,0,1
1740729502.0941367,0,0,1
1740729502.1551127,0,0,1
1740729502.2188053,0,0,1
1740729502.2813494,0,0,1
1740729502.3449664,0,0,1
1740729502.413335,0,0,1
1740729502.472079,0,1,0
1740729502.541892,0,0,1
1740729502.6024227,0,1,0
1740729502.6622677,0,1,0
1740729502.7262533,0,1,0
1740729502.7896185,0,1,0
1740729502.8501766,0,1,0
1740729502.9133813,0,0,1
1740729502.9798412,0,0,1
1740729503.037313,0,0,1
1740729503.0964785,0,0,1
1740729503.1561463,0,0,1
1740729503.2156663,0,0,1
1740729503.2776263,0,0,1
1740729503.339119,0,0,1
1740729503.399522,0,0,1
1740729503.4623008,0,0,1
1740729503.525748,0,0,1
1740729503.5868022,0,0,1
1740729503.6493227,0,0,1
1740729503.7135828,0,0,1
1740729503.7758086,1,0,0
1740729503.8377948,1,0,0
1740729503.8987763,1,0,0
1740729503.962879,1,0,0
1740729504.024006,0,0,1
1740729504.0882745,0,0,1
1740729504.1520753,0,0,1
1740729504.212387,0,0,1
1740729504.2727685,0,0,1
1740729504.3341503,0,0,1
1740729504.397368,0,0,1
1740729504.458691,0,0,1
1740729504.52044,0,0,1
1740729504.5836806,0,0,1
1740729504.646907,0,0,1
1740729504.7084596,0,0,1
1740729504.7694416,0,0,1
1740729504.826778,0,0,1
1740729504.8977664,0,1,0
1740729504.951933,0,1,0
1740729505.0125728,0,1,0
1740729505.0820832,0,1,0
1740729505.1431818,0,1,0
1740729505.2099133,0,0,1
1740729505.2758784,0,0,1
1740729505.3366938,0,0,1
1740729505.39935,0,0,1
1740729505.4631748,0,0,1
1740729505.5236213,0,0,1
1740729505.5833251,0,0,1
1740729505.6467493,0,0,1
1740729505.7082448,0,0,1
1740729505.7679524,0,0,1
1740729505.8342798,0,0,1
1740729505.8948312,1,0,0
1740729505.955243,1,0,0
1740729506.0182593,1,0,0
1740729506.0819557,1,0,0
1740729506.1426334,1,0,0
1740729506.2044096,0,0,1
1740729506.2662935,0,0,1
1740729506.3312573,1,0,0
1740729506.3904328,1,0,0
1740729506.4528928,1,0,0
1740729506.51726,0,0,1
1740729506.5805185,0,0,1
1740729506.640807,0,0,1
1740729506.7075412,0,1,0
1740729506.7667484,0,1,0
1740729506.8314815,0,1,0
1740729506.9005978,0,1,0
1740729506.9659963,0,1,0
1740729507.0316565,0,1,0
1740729507.0818532,0,1,0
1740729507.1392913,0,1,0
1740729507.1878653,0,1,0
1740729507.2335203,0,1,0
1740729507.291529,0,1,0
1740729507.356127,0,1,0
1740729507.4180303,0,1,0
1740729507.4820406,0,1,0
1740729507.5390556,0,1,0
1740729507.6034791,0,1,0
1740729507.6587932,0,1,0
1740729507.709312,0,1,0
1740729507.7802322,0,1,0
1740729507.8484313,0,1,0
1740729507.8944483,0,1,0
1740729507.9500399,0,1,0
1740729508.014044,0,1,0
1740729508.076116,0,1,0
1740729508.1382613,0,1,0
1740729508.1952233,0,1,0
1740729508.2623684,0,1,0
1740729508.3218012,0,1,0
1740729508.3840055,0,1,0
1740729508.4491594,0,1,0
1740729508.5094283,0,1,0
1740729508.5744886,0,1,0
1740729508.6353128,0,1,0
1740729508.6979997,0,1,0
1740729508.759137,0,1,0
